ipv4,asn
1.22.254.0/24,45528
1.22.255.0/24,45528
1.23.0.0/24,45528
1.23.1.0/24,45528
1.23.2.0/24,45528
1.23.3.0/24,45528
1.23.4.0/24,45528
1.23.5.0/24,45528
1.23.6.0/24,45528
1.23.10.0/24,45528
1.23.11.0/24,45528
1.23.12.0/24,45528
1.23.13.0/24,45528
1.23.16.0/24,45528
1.23.17.0/24,45528
1.23.18.0/24,45528
1.23.19.0/24,45528
1.23.20.0/24,45528
1.23.22.0/24,45528
1.23.23.0/24,45528
1.23.25.0/24,45528
1.23.26.0/24,45528
1.23.27.0/24,45528
1.23.29.0/24,45528
1.23.30.0/24,45528
1.23.31.0/24,45528
1.23.32.0/24,45528
1.23.33.0/24,45528
1.23.34.0/24,45528
1.23.35.0/24,45528
1.23.36.0/24,45528
1.23.37.0/24,45528
1.23.38.0/24,45528
1.23.39.0/24,45528
1.23.40.0/24,45528
1.23.41.0/24,45528
1.23.42.0/24,45528
1.23.43.0/24,45528
1.23.44.0/24,45528
1.23.45.0/24,45528
1.23.46.0/24,45528
1.23.47.0/24,45528
1.23.48.0/24,45528
1.23.49.0/24,45528
1.23.50.0/24,45528
1.23.51.0/24,45528
1.23.52.0/24,45528
1.23.53.0/24,45528
1.23.54.0/24,45528
1.23.55.0/24,45528
1.23.56.0/24,45528
1.23.57.0/24,45528
1.23.61.0/24,45528
1.23.62.0/24,45528
1.23.63.0/24,45528
1.23.68.0/24,45528
1.23.69.0/24,45528
1.23.70.0/24,45528
1.23.73.0/24,45528
1.23.74.0/24,45528
1.23.75.0/24,45528
1.23.76.0/23,45528
1.23.76.0/24,45528
1.23.77.0/24,45528
1.23.78.0/24,45528
1.23.79.0/24,45528
1.23.80.0/24,45528
1.23.81.0/24,45528
1.23.82.0/24,45528
1.23.83.0/24,45528
1.23.84.0/24,45528
1.23.85.0/24,45528
1.23.86.0/24,45528
1.23.88.0/24,45528
1.23.90.0/23,45528
1.23.90.0/24,45528
1.23.91.0/24,45528
1.23.93.0/24,45528
1.23.94.0/24,45528
1.23.96.0/24,45528
1.23.97.0/24,45528
1.23.98.0/24,45528
1.23.99.0/24,45528
1.23.100.0/24,45528
1.23.101.0/24,45528
1.23.102.0/24,45528
1.23.103.0/24,45528
1.23.104.0/22,45528
1.23.104.0/24,45528
1.23.105.0/24,45528
1.23.106.0/24,45528
1.23.107.0/24,45528
1.23.108.0/22,45528
1.23.108.0/24,45528
1.23.109.0/24,45528
1.23.110.0/24,45528
1.23.111.0/24,45528
1.23.112.0/24,45528
1.23.114.0/24,45528
1.23.115.0/24,45528
1.23.116.0/24,45528
1.23.117.0/24,45528
1.23.118.0/24,45528
1.23.119.0/24,45528
1.23.121.0/24,45528
1.23.122.0/24,45528
1.23.123.0/24,45528
1.23.124.0/24,45528
1.23.125.0/24,45528
1.23.126.0/24,45528
1.23.127.0/24,45528
1.23.128.0/24,45528
1.23.129.0/24,45528
1.23.130.0/24,45528
1.23.131.0/24,45528
1.23.132.0/24,45528
1.23.136.0/24,45528
1.23.137.0/24,45528
1.23.138.0/24,45528
1.23.139.0/24,45528
1.23.140.0/24,45528
1.23.141.0/24,45528
1.23.142.0/24,45528
1.23.143.0/24,45528
1.23.144.0/24,45528
1.23.145.0/24,45528
1.23.146.0/24,45528
1.23.147.0/24,45528
1.23.148.0/24,45528
1.23.149.0/24,45528
1.23.150.0/24,45528
1.23.151.0/24,45528
1.23.160.0/23,45528
1.23.160.0/24,45528
1.23.161.0/24,45528
1.23.162.0/24,45528
1.23.163.0/24,45528
1.23.164.0/24,45528
1.23.165.0/24,45528
1.23.166.0/24,45528
1.23.167.0/24,45528
1.23.168.0/24,45528
1.23.169.0/24,45528
1.23.170.0/24,45528
1.23.171.0/24,45528
1.23.174.0/24,45528
1.23.175.0/24,45528
1.23.176.0/23,45528
1.23.176.0/24,45528
1.23.177.0/24,45528
1.23.180.0/23,45528
1.23.180.0/24,45528
1.23.181.0/24,45528
1.23.182.0/24,45528
1.23.183.0/24,45528
1.23.185.0/24,45528
1.23.186.0/24,45528
1.23.187.0/24,45528
1.23.188.0/24,45528
1.23.189.0/24,45528
1.23.190.0/24,45528
1.23.191.0/24,45528
1.23.192.0/24,45528
1.23.194.0/23,45528
1.23.194.0/24,45528
1.23.195.0/24,45528
1.23.196.0/24,45528
1.23.197.0/24,45528
1.23.198.0/24,45528
1.23.199.0/24,45528
1.23.204.0/24,45528
1.23.206.0/24,45528
1.23.208.0/24,45528
1.23.209.0/24,45528
1.23.210.0/24,45528
1.23.211.0/24,45528
1.23.212.0/24,45528
1.23.213.0/24,45528
1.23.214.0/24,45528
1.23.215.0/24,45528
1.23.216.0/24,45528
1.23.217.0/24,45528
1.23.220.0/24,45528
1.23.224.0/24,45528
1.23.225.0/24,45528
1.23.226.0/24,45528
1.23.227.0/24,45528
1.23.228.0/24,45528
1.23.229.0/24,45528
1.23.230.0/23,45528
1.23.230.0/24,45528
1.23.231.0/24,45528
1.23.232.0/24,45528
1.23.233.0/24,45528
1.23.234.0/24,45528
1.23.235.0/24,45528
1.23.236.0/24,45528
1.23.237.0/24,45528
1.23.238.0/23,45528
1.23.238.0/24,45528
1.23.240.0/24,45528
1.23.241.0/24,45528
1.23.242.0/24,45528
1.23.243.0/24,45528
1.23.244.0/24,45528
1.23.245.0/24,45528
1.23.246.0/24,45528
1.23.247.0/24,45528
1.23.248.0/24,45528
1.23.249.0/24,45528
1.23.250.0/24,45528
1.23.251.0/24,45528
1.23.252.0/23,45528
1.23.252.0/24,45528
1.23.253.0/24,45528
1.23.254.0/24,45528
1.38.0.0/17,38266
1.38.3.0/24,38266
1.38.4.0/24,38266
1.38.11.0/24,38266
1.38.13.0/24,38266
1.38.14.0/24,38266
1.38.15.0/24,38266
1.38.16.0/24,38266
1.38.17.0/24,38266
1.38.25.0/24,38266
1.38.31.0/24,38266
1.38.48.0/24,38266
1.38.49.0/24,38266
1.38.50.0/24,38266
1.38.51.0/24,38266
1.38.52.0/24,38266
1.38.53.0/24,38266
1.38.54.0/24,38266
1.38.55.0/24,38266
1.38.64.0/22,38266
1.38.68.0/22,38266
1.38.72.0/22,38266
1.38.76.0/22,38266
1.38.80.0/22,38266
1.38.84.0/22,38266
1.38.88.0/22,38266
1.38.92.0/22,38266
1.38.96.0/24,38266
1.38.97.0/24,38266
1.38.98.0/24,38266
1.38.99.0/24,38266
1.38.100.0/24,38266
1.38.101.0/24,38266
1.38.102.0/24,38266
1.38.103.0/24,38266
1.38.104.0/24,38266
1.38.105.0/24,38266
1.38.106.0/24,38266
1.38.107.0/24,38266
1.38.108.0/24,38266
1.38.109.0/24,38266
1.38.110.0/24,38266
1.38.111.0/24,38266
1.38.112.0/24,38266
1.38.113.0/24,38266
1.38.114.0/24,38266
1.38.115.0/24,38266
1.38.116.0/24,38266
1.38.117.0/24,38266
1.38.118.0/24,38266
1.38.119.0/24,38266
1.38.120.0/24,38266
1.38.121.0/24,38266
1.38.122.0/24,38266
1.38.123.0/24,38266
1.38.124.0/24,38266
1.38.125.0/24,38266
1.38.126.0/24,38266
1.38.127.0/24,38266
1.38.136.0/22,38266
1.38.140.0/22,38266
1.38.144.0/22,38266
1.38.148.0/22,38266
1.38.160.0/22,38266
1.38.164.0/22,38266
1.38.176.0/22,38266
1.38.180.0/22,38266
1.38.192.0/22,38266
1.38.196.0/22,38266
1.38.208.0/24,55410
1.38.209.0/24,45271
1.38.210.0/24,45271
1.38.211.0/24,38266
1.38.213.0/24,38266
1.38.216.0/22,38266
1.38.220.0/22,38266
1.39.4.0/22,38266
1.39.8.0/22,38266
1.39.12.0/22,38266
1.39.12.0/23,38266
1.39.16.0/22,38266
1.39.16.0/24,38266
1.39.17.0/24,38266
1.39.18.0/24,38266
1.39.19.0/24,38266
1.39.20.0/22,38266
1.39.20.0/24,38266
1.39.21.0/24,38266
1.39.22.0/24,38266
1.39.23.0/24,38266
1.39.24.0/22,38266
1.39.24.0/24,38266
1.39.25.0/24,38266
1.39.26.0/24,38266
1.39.27.0/24,38266
1.39.28.0/22,38266
1.39.28.0/24,38266
1.39.29.0/24,38266
1.39.30.0/24,38266
1.39.31.0/24,38266
1.39.32.0/22,38266
1.39.32.0/24,38266
1.39.33.0/24,38266
1.39.34.0/24,38266
1.39.35.0/24,38266
1.39.36.0/22,38266
1.39.36.0/23,38266
1.39.36.0/24,38266
1.39.37.0/24,38266
1.39.38.0/24,38266
1.39.39.0/24,38266
1.39.40.0/22,38266
1.39.40.0/24,38266
1.39.41.0/24,38266
1.39.42.0/24,38266
1.39.43.0/24,38266
1.39.44.0/22,38266
1.39.44.0/24,38266
1.39.45.0/24,38266
1.39.46.0/24,38266
1.39.47.0/24,38266
1.39.48.0/22,38266
1.39.48.0/24,38266
1.39.49.0/24,38266
1.39.50.0/24,38266
1.39.51.0/24,38266
1.39.72.0/24,38266
1.39.75.0/24,38266
1.39.76.0/24,38266
1.39.77.0/24,38266
1.39.78.0/24,38266
1.39.79.0/24,38266
1.39.80.0/22,38266
1.39.82.0/24,38266
1.39.83.0/24,38266
1.39.84.0/22,38266
1.39.87.0/24,38266
1.39.88.0/22,38266
1.39.96.0/22,38266
1.39.96.0/23,38266
1.39.96.0/24,38266
1.39.97.0/24,38266
1.39.98.0/24,38266
1.39.99.0/24,38266
1.39.100.0/22,38266
1.39.100.0/24,38266
1.39.101.0/24,38266
1.39.102.0/24,38266
1.39.103.0/24,38266
1.39.104.0/24,38266
